file,NOF_avg,NOF_max,NOF_total,NSF_avg,NSF_max,NSF_total
org.eclipse.jdt.core.BufferChangedEvent.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.ClasspathContainerInitializer.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.ClasspathVariableInitializer.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.CompletionRequestorAdapter.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.CorrectionEngine.java,7.0,7,7,6.0,6,6
org.eclipse.jdt.core.dom.AnonymousClassDeclaration.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.ArrayAccess.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.ArrayCreation.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.ArrayInitializer.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.ArrayType.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.AssertStatement.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.Assignment.java,2.5,4,5,13.0,13,26
org.eclipse.jdt.core.dom.AST.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.ASTConverter.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.core.dom.ASTMatcher.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.ASTNode.java,6.0,12,18,22.0,66,66
org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.ASTVisitor.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.BindingResolver.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.Block.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.BodyDeclaration.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.BooleanLiteral.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.BreakStatement.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.CastExpression.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.CatchClause.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.CharacterLiteral.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.ClassInstanceCreation.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.core.dom.CompilationUnit.java,5.0,5,5,1.0,1,1
org.eclipse.jdt.core.dom.CompilationUnitResolver.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.ConditionalExpression.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.ConstructorInvocation.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.ContinueStatement.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.DefaultBindingResolver.java,6.0,6,6,2.0,2,2
org.eclipse.jdt.core.dom.DoStatement.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.EmptyStatement.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.Expression.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.ExpressionStatement.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.FieldAccess.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.FieldDeclaration.java,3.0,3,3,1.0,1,1
org.eclipse.jdt.core.dom.ForStatement.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.core.dom.IBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.IfStatement.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.IMethodBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.ImportDeclaration.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.InfixExpression.java,3.0,5,6,20.0,20,40
org.eclipse.jdt.core.dom.Initializer.java,2.0,2,2,1.0,1,1
org.eclipse.jdt.core.dom.InstanceofExpression.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.IPackageBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.ITypeBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.IVariableBinding.java,1,0,0,1,0,0
org.eclipse.jdt.core.dom.Javadoc.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.LabeledStatement.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.Message.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.MethodBinding.java,7.0,7,7,1.0,1,1
org.eclipse.jdt.core.dom.MethodDeclaration.java,7.0,7,7,1.0,1,1
org.eclipse.jdt.core.dom.MethodInvocation.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.Modifier.java,0.0,0,0,12.0,12,12
org.eclipse.jdt.core.dom.NaiveASTFlattener.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.Name.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.NullLiteral.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.NumberLiteral.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.PackageBinding.java,4.0,4,4,3.0,3,3
org.eclipse.jdt.core.dom.PackageDeclaration.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.ParenthesizedExpression.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.PostfixExpression.java,2.0,3,4,3.0,3,6
org.eclipse.jdt.core.dom.PrefixExpression.java,2.0,3,4,7.0,7,14
org.eclipse.jdt.core.dom.PrimitiveType.java,1.5,2,3,5.0,10,10
org.eclipse.jdt.core.dom.QualifiedName.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.ReturnStatement.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.SimpleName.java,1.0,1,1,1.0,1,1
org.eclipse.jdt.core.dom.SimpleType.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.SingleVariableDeclaration.java,4.0,4,4,1.0,1,1
org.eclipse.jdt.core.dom.Statement.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.StringLiteral.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.SuperConstructorInvocation.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.SuperFieldAccess.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.SuperMethodInvocation.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.SwitchCase.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.SwitchStatement.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.SynchronizedStatement.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.dom.ThisExpression.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.ThrowStatement.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.TryStatement.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.Type.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.TypeBinding.java,4.0,4,4,5.0,5,5
org.eclipse.jdt.core.dom.TypeDeclaration.java,6.0,6,6,1.0,1,1
org.eclipse.jdt.core.dom.TypeDeclarationStatement.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.TypeLiteral.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.dom.VariableBinding.java,5.0,5,5,0.0,0,0
org.eclipse.jdt.core.dom.VariableDeclaration.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.dom.VariableDeclarationExpression.java,3.0,3,3,1.0,1,1
org.eclipse.jdt.core.dom.VariableDeclarationFragment.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.core.dom.VariableDeclarationStatement.java,3.0,3,3,1.0,1,1
org.eclipse.jdt.core.dom.WhileStatement.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.core.ElementChangedEvent.java,1.0,1,1,3.0,3,3
org.eclipse.jdt.core.eval.ICodeSnippetRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.core.eval.IEvaluationContext.java,1,0,0,1,0,0
org.eclipse.jdt.core.eval.IGlobalVariable.java,1,0,0,1,0,0
org.eclipse.jdt.core.Flags.java,0.0,0,0,15.0,15,15
org.eclipse.jdt.core.IBuffer.java,1,0,0,1,0,0
org.eclipse.jdt.core.IBufferChangedListener.java,1,0,0,1,0,0
org.eclipse.jdt.core.IBufferFactory.java,1,0,0,1,0,0
org.eclipse.jdt.core.IClassFile.java,1,0,0,1,0,0
org.eclipse.jdt.core.IClasspathContainer.java,1,0,0,1,0,0
org.eclipse.jdt.core.IClasspathEntry.java,1,0,0,1,0,0
org.eclipse.jdt.core.ICodeAssist.java,1,0,0,1,0,0
org.eclipse.jdt.core.ICodeCompletionRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.core.ICodeFormatter.java,1,0,0,1,0,0
org.eclipse.jdt.core.ICompilationUnit.java,1,0,0,1,0,0
org.eclipse.jdt.core.ICompletionRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.core.ICorrectionRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.core.IElementChangedListener.java,1,0,0,1,0,0
org.eclipse.jdt.core.IField.java,1,0,0,1,0,0
org.eclipse.jdt.core.IImportContainer.java,1,0,0,1,0,0
org.eclipse.jdt.core.IImportDeclaration.java,1,0,0,1,0,0
org.eclipse.jdt.core.IInitializer.java,1,0,0,1,0,0
org.eclipse.jdt.core.IJavaElement.java,1,0,0,1,0,0
org.eclipse.jdt.core.IJavaElementDelta.java,1,0,0,1,0,0
org.eclipse.jdt.core.IJavaModel.java,1,0,0,1,0,0
org.eclipse.jdt.core.IJavaModelMarker.java,1,0,0,1,0,0
org.eclipse.jdt.core.IJavaModelStatus.java,1,0,0,1,0,0
org.eclipse.jdt.core.IJavaModelStatusConstants.java,1,0,0,1,0,0
org.eclipse.jdt.core.IJavaProject.java,1,0,0,1,0,0
org.eclipse.jdt.core.IMember.java,1,0,0,1,0,0
org.eclipse.jdt.core.IMethod.java,1,0,0,1,0,0
org.eclipse.jdt.core.IOpenable.java,1,0,0,1,0,0
org.eclipse.jdt.core.IPackageDeclaration.java,1,0,0,1,0,0
org.eclipse.jdt.core.IPackageFragment.java,1,0,0,1,0,0
org.eclipse.jdt.core.IPackageFragmentRoot.java,1,0,0,1,0,0
org.eclipse.jdt.core.IParent.java,1,0,0,1,0,0
org.eclipse.jdt.core.IProblemRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.core.IRegion.java,1,0,0,1,0,0
org.eclipse.jdt.core.ISourceManipulation.java,1,0,0,1,0,0
org.eclipse.jdt.core.ISourceRange.java,1,0,0,1,0,0
org.eclipse.jdt.core.ISourceReference.java,1,0,0,1,0,0
org.eclipse.jdt.core.IType.java,1,0,0,1,0,0
org.eclipse.jdt.core.ITypeHierarchy.java,1,0,0,1,0,0
org.eclipse.jdt.core.ITypeHierarchyChangedListener.java,1,0,0,1,0,0
org.eclipse.jdt.core.IWorkingCopy.java,1,0,0,1,0,0
org.eclipse.jdt.core.JavaConventions.java,0.0,0,0,3.0,3,3
org.eclipse.jdt.core.JavaCore.java,0.0,0,0,64.0,64,64
org.eclipse.jdt.core.JavaModelException.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.core.jdom.DOMException.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.jdom.DOMFactory.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.jdom.IDOMCompilationUnit.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMFactory.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMField.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMImport.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMInitializer.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMMember.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMMethod.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMNode.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMPackage.java,1,0,0,1,0,0
org.eclipse.jdt.core.jdom.IDOMType.java,1,0,0,1,0,0
org.eclipse.jdt.core.JDTCompilerAdapter.java,0.0,0,0,1.0,1,1
org.eclipse.jdt.core.search.IJavaSearchConstants.java,1,0,0,1,0,0
org.eclipse.jdt.core.search.IJavaSearchResultCollector.java,1,0,0,1,0,0
org.eclipse.jdt.core.search.IJavaSearchScope.java,1,0,0,1,0,0
org.eclipse.jdt.core.search.ISearchPattern.java,1,0,0,1,0,0
org.eclipse.jdt.core.search.ITypeNameRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.core.search.SearchEngine.java,1.0,1,1,1.0,1,1
org.eclipse.jdt.core.Signature.java,0.0,0,0,38.0,38,38
org.eclipse.jdt.core.ToolFactory.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.util.ByteCodeVisitorAdapter.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.core.util.ClassFormatException.java,1.0,1,1,6.0,6,6
org.eclipse.jdt.core.util.IAttributeNamesConstants.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IBytecodeVisitor.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IClassFileAttribute.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IClassFileDisassembler.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IClassFileReader.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.ICodeAttribute.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IConstantPool.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IConstantPoolConstant.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IConstantPoolEntry.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IConstantValueAttribute.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IExceptionAttribute.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IExceptionTableEntry.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IFieldInfo.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IInnerClassesAttribute.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IInnerClassesAttributeEntry.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.ILineNumberAttribute.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.ILocalVariableAttribute.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.ILocalVariableTableEntry.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IMethodInfo.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IModifierConstants.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.IOpcodeMnemonics.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.ISourceAttribute.java,1,0,0,1,0,0
org.eclipse.jdt.core.util.OpcodeStringValues.java,0.0,0,0,1.0,1,1
org.eclipse.jdt.internal.codeassist.complete.CompletionNodeFound.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnArgumentName.java,1.0,1,1,1.0,1,1
org.eclipse.jdt.internal.codeassist.complete.CompletionOnClassLiteralAccess.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnClassReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnExceptionReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnExplicitConstructorCall.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldName.java,1.0,1,1,1.0,1,1
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldType.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnImportReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnInterfaceReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnLocalName.java,1.0,1,1,1.0,1,1
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMemberAccess.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMessageSend.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodName.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodReturnType.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnPackageReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedAllocationExpression.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedClassReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedExceptionReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedInterfaceReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedNameReference.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedTypeReference.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleNameReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleTypeReference.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionParser.java,21.0,21,21,6.0,6,6
org.eclipse.jdt.internal.codeassist.complete.CompletionScanner.java,4.0,4,4,1.0,1,1
org.eclipse.jdt.internal.codeassist.complete.InvalidCursorLocation.java,1.0,1,1,4.0,4,4
org.eclipse.jdt.internal.codeassist.CompletionEngine.java,18.0,18,18,10.0,10,10
org.eclipse.jdt.internal.codeassist.impl.AssistOptions.java,2.0,2,2,4.0,4,4
org.eclipse.jdt.internal.codeassist.impl.AssistParser.java,11.0,11,11,2.0,2,2
org.eclipse.jdt.internal.codeassist.impl.Engine.java,5.0,5,5,0.0,0,0
org.eclipse.jdt.internal.codeassist.ISearchableNameEnvironment.java,1,0,0,1,0,0
org.eclipse.jdt.internal.codeassist.ISearchRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.internal.codeassist.ISelectionRequestor.java,1,0,0,1,0,0
org.eclipse.jdt.internal.codeassist.RelevanceConstants.java,1,0,0,1,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionNodeFound.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnArgumentName.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnExplicitConstructorCall.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnFieldReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnFieldType.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnImportReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnLocalName.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnMessageSend.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnPackageReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedAllocationExpression.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedNameReference.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedSuperReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedTypeReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleNameReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleTypeReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSuperReference.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionParser.java,2.0,2,2,2.0,2,2
org.eclipse.jdt.internal.codeassist.select.SelectionScanner.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.internal.codeassist.SelectionEngine.java,11.0,11,11,1.0,1,1
org.eclipse.jdt.internal.compiler.AbstractSyntaxTreeVisitorAdapter.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.AbstractMethodDeclaration.java,16.0,16,16,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.AbstractVariableDeclaration.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.AllocationExpression.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.AND_AND_Expression.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.AnonymousLocalTypeDeclaration.java,1.0,1,1,1.0,1,1
org.eclipse.jdt.internal.compiler.ast.Argument.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ArrayAllocationExpression.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ArrayInitializer.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ArrayQualifiedTypeReference.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ArrayReference.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ArrayTypeReference.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.AssertStatement.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.Assignment.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.AstNode.java,3.0,3,3,14.0,14,14
org.eclipse.jdt.internal.compiler.ast.BinaryExpression.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.Block.java,3.0,3,3,1.0,1,1
org.eclipse.jdt.internal.compiler.ast.BranchStatement.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.Break.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.Case.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.CastExpression.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.CharLiteral.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ClassLiteralAccess.java,3.0,3,3,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.Clinit.java,2.0,2,2,1.0,1,1
org.eclipse.jdt.internal.compiler.ast.CompilationUnitDeclaration.java,10.0,10,10,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.CompoundAssignment.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ConditionalExpression.java,7.0,7,7,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ConstructorDeclaration.java,3.0,3,3,1.0,1,1
org.eclipse.jdt.internal.compiler.ast.Continue.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.DefaultCase.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.DoStatement.java,5.0,5,5,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.DoubleLiteral.java,1.0,1,1,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.EmptyStatement.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.EqualExpression.java,0.0,0,0,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ExplicitConstructorCall.java,7.0,7,7,3.0,3,3
org.eclipse.jdt.internal.compiler.ast.Expression.java,2.0,2,2,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ExtendedStringLiteral.java,0.0,0,0,1.0,1,1
org.eclipse.jdt.internal.compiler.ast.FalseLiteral.java,0.0,0,0,1.0,1,1
org.eclipse.jdt.internal.compiler.ast.FieldDeclaration.java,4.0,4,4,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.FieldReference.java,8.0,8,8,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.FloatLiteral.java,1.0,1,1,1.0,1,1
org.eclipse.jdt.internal.compiler.ast.ForStatement.java,11.0,11,11,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.IfStatement.java,7.0,7,7,0.0,0,0
org.eclipse.jdt.internal.compiler.ast.ImportReference.java,7.0,7,7,0.0,0,0
