file,class,num_of_method,num_of_static_method
org.eclipse.jdt.core.BufferChangedEvent.java,BufferChangedEvent,4,0
org.eclipse.jdt.core.ClasspathContainerInitializer.java,ClasspathContainerInitializer,1,0
org.eclipse.jdt.core.ClasspathVariableInitializer.java,ClasspathVariableInitializer,1,0
org.eclipse.jdt.core.CompletionRequestorAdapter.java,CompletionRequestorAdapter,14,0
org.eclipse.jdt.core.CorrectionEngine.java,CorrectionEngine,18,0
org.eclipse.jdt.core.dom.AnonymousClassDeclaration.java,AnonymousClassDeclaration,8,0
org.eclipse.jdt.core.dom.ArrayAccess.java,ArrayAccess,10,0
org.eclipse.jdt.core.dom.ArrayCreation.java,ArrayCreation,11,0
org.eclipse.jdt.core.dom.ArrayInitializer.java,ArrayInitializer,7,0
org.eclipse.jdt.core.dom.ArrayType.java,ArrayType,10,0
org.eclipse.jdt.core.dom.AssertStatement.java,AssertStatement,10,0
org.eclipse.jdt.core.dom.Assignment.java,Assignment,13,1
org.eclipse.jdt.core.dom.Assignment.java,Operator,1,1
org.eclipse.jdt.core.dom.AST.java,AST,70,3
org.eclipse.jdt.core.dom.ASTConverter.java,ASTConverter,109,0
org.eclipse.jdt.core.dom.ASTMatcher.java,ASTMatcher,64,1
org.eclipse.jdt.core.dom.ASTNode.java,ASTNode,43,3
org.eclipse.jdt.core.dom.ASTNode.java,NodeList,14,0
org.eclipse.jdt.core.dom.ASTNode.java,Cursor,4,0
org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator.java,ASTSyntaxErrorPropagator,7,0
org.eclipse.jdt.core.dom.ASTVisitor.java,ASTVisitor,126,0
org.eclipse.jdt.core.dom.BindingResolver.java,BindingResolver,22,0
org.eclipse.jdt.core.dom.Block.java,Block,7,0
org.eclipse.jdt.core.dom.BodyDeclaration.java,BodyDeclaration,3,0
org.eclipse.jdt.core.dom.BooleanLiteral.java,BooleanLiteral,8,0
org.eclipse.jdt.core.dom.BreakStatement.java,BreakStatement,8,0
org.eclipse.jdt.core.dom.CastExpression.java,CastExpression,10,0
org.eclipse.jdt.core.dom.CatchClause.java,CatchClause,10,0
org.eclipse.jdt.core.dom.CharacterLiteral.java,CharacterLiteral,10,0
org.eclipse.jdt.core.dom.ClassInstanceCreation.java,ClassInstanceCreation,14,0
org.eclipse.jdt.core.dom.CompilationUnit.java,CompilationUnit,16,0
org.eclipse.jdt.core.dom.CompilationUnitResolver.java,CompilationUnitResolver,5,8
org.eclipse.jdt.core.dom.ConditionalExpression.java,ConditionalExpression,12,0
org.eclipse.jdt.core.dom.ConstructorInvocation.java,ConstructorInvocation,8,0
org.eclipse.jdt.core.dom.ContinueStatement.java,ContinueStatement,8,0
org.eclipse.jdt.core.dom.DefaultBindingResolver.java,DefaultBindingResolver,31,0
org.eclipse.jdt.core.dom.DoStatement.java,DoStatement,10,0
org.eclipse.jdt.core.dom.EmptyStatement.java,EmptyStatement,5,0
org.eclipse.jdt.core.dom.Expression.java,Expression,1,0
org.eclipse.jdt.core.dom.ExpressionStatement.java,ExpressionStatement,8,0
org.eclipse.jdt.core.dom.FieldAccess.java,FieldAccess,10,0
org.eclipse.jdt.core.dom.FieldDeclaration.java,FieldDeclaration,12,0
org.eclipse.jdt.core.dom.ForStatement.java,ForStatement,12,0
org.eclipse.jdt.core.dom.IfStatement.java,IfStatement,12,0
org.eclipse.jdt.core.dom.ImportDeclaration.java,ImportDeclaration,11,0
org.eclipse.jdt.core.dom.InfixExpression.java,InfixExpression,15,1
org.eclipse.jdt.core.dom.InfixExpression.java,Operator,1,1
org.eclipse.jdt.core.dom.Initializer.java,Initializer,10,0
org.eclipse.jdt.core.dom.InstanceofExpression.java,InstanceofExpression,10,0
org.eclipse.jdt.core.dom.Javadoc.java,Javadoc,8,0
org.eclipse.jdt.core.dom.LabeledStatement.java,LabeledStatement,10,0
org.eclipse.jdt.core.dom.Message.java,Message,4,0
org.eclipse.jdt.core.dom.MethodBinding.java,MethodBinding,11,0
org.eclipse.jdt.core.dom.MethodDeclaration.java,MethodDeclaration,20,0
org.eclipse.jdt.core.dom.MethodInvocation.java,MethodInvocation,11,0
org.eclipse.jdt.core.dom.Modifier.java,Modifier,0,11
org.eclipse.jdt.core.dom.NaiveASTFlattener.java,NaiveASTFlattener,65,0
org.eclipse.jdt.core.dom.Name.java,Name,3,0
org.eclipse.jdt.core.dom.NullLiteral.java,NullLiteral,6,0
org.eclipse.jdt.core.dom.NumberLiteral.java,NumberLiteral,8,0
org.eclipse.jdt.core.dom.PackageBinding.java,PackageBinding,10,0
org.eclipse.jdt.core.dom.PackageDeclaration.java,PackageDeclaration,9,0
org.eclipse.jdt.core.dom.ParenthesizedExpression.java,ParenthesizedExpression,8,0
org.eclipse.jdt.core.dom.PostfixExpression.java,PostfixExpression,11,1
org.eclipse.jdt.core.dom.PostfixExpression.java,Operator,1,1
org.eclipse.jdt.core.dom.PrefixExpression.java,PrefixExpression,11,1
org.eclipse.jdt.core.dom.PrefixExpression.java,Operator,1,1
org.eclipse.jdt.core.dom.PrimitiveType.java,PrimitiveType,9,1
org.eclipse.jdt.core.dom.PrimitiveType.java,Code,1,0
org.eclipse.jdt.core.dom.QualifiedName.java,QualifiedName,10,0
org.eclipse.jdt.core.dom.ReturnStatement.java,ReturnStatement,8,0
org.eclipse.jdt.core.dom.SimpleName.java,SimpleName,9,0
org.eclipse.jdt.core.dom.SimpleType.java,SimpleType,8,0
org.eclipse.jdt.core.dom.SingleVariableDeclaration.java,SingleVariableDeclaration,14,0
org.eclipse.jdt.core.dom.Statement.java,Statement,3,0
org.eclipse.jdt.core.dom.StringLiteral.java,StringLiteral,10,0
org.eclipse.jdt.core.dom.SuperConstructorInvocation.java,SuperConstructorInvocation,10,0
org.eclipse.jdt.core.dom.SuperFieldAccess.java,SuperFieldAccess,10,0
org.eclipse.jdt.core.dom.SuperMethodInvocation.java,SuperMethodInvocation,11,0
org.eclipse.jdt.core.dom.SwitchCase.java,SwitchCase,9,0
org.eclipse.jdt.core.dom.SwitchStatement.java,SwitchStatement,9,0
org.eclipse.jdt.core.dom.SynchronizedStatement.java,SynchronizedStatement,10,0
org.eclipse.jdt.core.dom.ThisExpression.java,ThisExpression,8,0
org.eclipse.jdt.core.dom.ThrowStatement.java,ThrowStatement,8,0
org.eclipse.jdt.core.dom.TryStatement.java,TryStatement,11,0
org.eclipse.jdt.core.dom.Type.java,Type,4,0
org.eclipse.jdt.core.dom.TypeBinding.java,TypeBinding,27,0
org.eclipse.jdt.core.dom.TypeDeclaration.java,TypeDeclaration,24,0
org.eclipse.jdt.core.dom.TypeDeclarationStatement.java,TypeDeclarationStatement,9,0
org.eclipse.jdt.core.dom.TypeLiteral.java,TypeLiteral,8,0
org.eclipse.jdt.core.dom.VariableBinding.java,VariableBinding,10,0
org.eclipse.jdt.core.dom.VariableDeclaration.java,VariableDeclaration,5,0
org.eclipse.jdt.core.dom.VariableDeclarationExpression.java,VariableDeclarationExpression,11,0
org.eclipse.jdt.core.dom.VariableDeclarationFragment.java,VariableDeclarationFragment,12,0
org.eclipse.jdt.core.dom.VariableDeclarationStatement.java,VariableDeclarationStatement,11,0
org.eclipse.jdt.core.dom.WhileStatement.java,WhileStatement,10,0
org.eclipse.jdt.core.ElementChangedEvent.java,ElementChangedEvent,2,0
org.eclipse.jdt.core.Flags.java,Flags,0,15
org.eclipse.jdt.core.JavaConventions.java,JavaConventions,0,12
org.eclipse.jdt.core.JavaCore.java,JavaCore,11,45
org.eclipse.jdt.core.JavaModelException.java,JavaModelException,4,0
org.eclipse.jdt.core.jdom.DOMException.java,DOMException,0,0
org.eclipse.jdt.core.jdom.DOMFactory.java,DOMFactory,17,0
org.eclipse.jdt.core.JDTCompilerAdapter.java,JDTCompilerAdapter,3,0
org.eclipse.jdt.core.search.SearchEngine.java,SearchEngine,11,8
org.eclipse.jdt.core.Signature.java,Signature,0,30
org.eclipse.jdt.core.ToolFactory.java,ToolFactory,0,7
org.eclipse.jdt.core.util.ByteCodeVisitorAdapter.java,ByteCodeVisitorAdapter,205,0
org.eclipse.jdt.core.util.ClassFormatException.java,ClassFormatException,0,0
org.eclipse.jdt.core.util.OpcodeStringValues.java,OpcodeStringValues,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionNodeFound.java,CompletionNodeFound,0,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnArgumentName.java,CompletionOnArgumentName,3,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnClassLiteralAccess.java,CompletionOnClassLiteralAccess,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnClassReference.java,CompletionOnClassReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnExceptionReference.java,CompletionOnExceptionReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnExplicitConstructorCall.java,CompletionOnExplicitConstructorCall,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldName.java,CompletionOnFieldName,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnFieldType.java,CompletionOnFieldType,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnImportReference.java,CompletionOnImportReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnInterfaceReference.java,CompletionOnInterfaceReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnLocalName.java,CompletionOnLocalName,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMemberAccess.java,CompletionOnMemberAccess,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMessageSend.java,CompletionOnMessageSend,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodName.java,CompletionOnMethodName,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnMethodReturnType.java,CompletionOnMethodReturnType,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnPackageReference.java,CompletionOnPackageReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedAllocationExpression.java,CompletionOnQualifiedAllocationExpression,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedClassReference.java,CompletionOnQualifiedClassReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedExceptionReference.java,CompletionOnQualifiedExceptionReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedInterfaceReference.java,CompletionOnQualifiedInterfaceReference,1,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedNameReference.java,CompletionOnQualifiedNameReference,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnQualifiedTypeReference.java,CompletionOnQualifiedTypeReference,4,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleNameReference.java,CompletionOnSingleNameReference,2,0
org.eclipse.jdt.internal.codeassist.complete.CompletionOnSingleTypeReference.java,CompletionOnSingleTypeReference,5,0
org.eclipse.jdt.internal.codeassist.complete.CompletionParser.java,CompletionParser,64,0
org.eclipse.jdt.internal.codeassist.complete.CompletionScanner.java,CompletionScanner,5,0
org.eclipse.jdt.internal.codeassist.complete.InvalidCursorLocation.java,InvalidCursorLocation,0,0
org.eclipse.jdt.internal.codeassist.CompletionEngine.java,CompletionEngine,52,0
org.eclipse.jdt.internal.codeassist.impl.AssistOptions.java,AssistOptions,0,0
org.eclipse.jdt.internal.codeassist.impl.AssistParser.java,AssistParser,59,0
org.eclipse.jdt.internal.codeassist.impl.Engine.java,Engine,8,0
org.eclipse.jdt.internal.codeassist.select.SelectionNodeFound.java,SelectionNodeFound,0,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnArgumentName.java,SelectionOnArgumentName,3,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnExplicitConstructorCall.java,SelectionOnExplicitConstructorCall,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnFieldReference.java,SelectionOnFieldReference,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnFieldType.java,SelectionOnFieldType,1,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnImportReference.java,SelectionOnImportReference,1,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnLocalName.java,SelectionOnLocalName,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnMessageSend.java,SelectionOnMessageSend,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnPackageReference.java,SelectionOnPackageReference,1,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedAllocationExpression.java,SelectionOnQualifiedAllocationExpression,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedNameReference.java,SelectionOnQualifiedNameReference,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedSuperReference.java,SelectionOnQualifiedSuperReference,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnQualifiedTypeReference.java,SelectionOnQualifiedTypeReference,3,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleNameReference.java,SelectionOnSingleNameReference,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleTypeReference.java,SelectionOnSingleTypeReference,4,0
org.eclipse.jdt.internal.codeassist.select.SelectionOnSuperReference.java,SelectionOnSuperReference,2,0
org.eclipse.jdt.internal.codeassist.select.SelectionParser.java,SelectionParser,33,0
org.eclipse.jdt.internal.codeassist.select.SelectionScanner.java,SelectionScanner,2,0
org.eclipse.jdt.internal.codeassist.SelectionEngine.java,SelectionEngine,13,0
org.eclipse.jdt.internal.compiler.AbstractSyntaxTreeVisitorAdapter.java,AbstractSyntaxTreeVisitorAdapter,151,0
org.eclipse.jdt.internal.compiler.ast.AbstractMethodDeclaration.java,AbstractMethodDeclaration,23,0
org.eclipse.jdt.internal.compiler.ast.AbstractVariableDeclaration.java,AbstractVariableDeclaration,2,0
org.eclipse.jdt.internal.compiler.ast.AllocationExpression.java,AllocationExpression,13,0
org.eclipse.jdt.internal.compiler.ast.AND_AND_Expression.java,AND_AND_Expression,5,0
org.eclipse.jdt.internal.compiler.ast.AnonymousLocalTypeDeclaration.java,AnonymousLocalTypeDeclaration,4,0
org.eclipse.jdt.internal.compiler.ast.Argument.java,Argument,4,0
org.eclipse.jdt.internal.compiler.ast.ArrayAllocationExpression.java,ArrayAllocationExpression,5,0
org.eclipse.jdt.internal.compiler.ast.ArrayInitializer.java,ArrayInitializer,5,0
org.eclipse.jdt.internal.compiler.ast.ArrayQualifiedTypeReference.java,ArrayQualifiedTypeReference,5,0
org.eclipse.jdt.internal.compiler.ast.ArrayReference.java,ArrayReference,9,0
org.eclipse.jdt.internal.compiler.ast.ArrayTypeReference.java,ArrayTypeReference,4,0
org.eclipse.jdt.internal.compiler.ast.AssertStatement.java,AssertStatement,6,0
org.eclipse.jdt.internal.compiler.ast.Assignment.java,Assignment,7,0
org.eclipse.jdt.internal.compiler.ast.AstNode.java,AstNode,12,2
org.eclipse.jdt.internal.compiler.ast.BinaryExpression.java,BinaryExpression,19,0
org.eclipse.jdt.internal.compiler.ast.Block.java,Block,9,1
org.eclipse.jdt.internal.compiler.ast.BranchStatement.java,BranchStatement,2,0
org.eclipse.jdt.internal.compiler.ast.Break.java,Break,3,0
org.eclipse.jdt.internal.compiler.ast.Case.java,Case,6,0
org.eclipse.jdt.internal.compiler.ast.CastExpression.java,CastExpression,6,0
org.eclipse.jdt.internal.compiler.ast.CharLiteral.java,CharLiteral,5,0
org.eclipse.jdt.internal.compiler.ast.ClassLiteralAccess.java,ClassLiteralAccess,5,0
org.eclipse.jdt.internal.compiler.ast.Clinit.java,Clinit,11,0
org.eclipse.jdt.internal.compiler.ast.CompilationUnitDeclaration.java,CompilationUnitDeclaration,17,0
org.eclipse.jdt.internal.compiler.ast.CompoundAssignment.java,CompoundAssignment,7,0
org.eclipse.jdt.internal.compiler.ast.ConditionalExpression.java,ConditionalExpression,6,0
org.eclipse.jdt.internal.compiler.ast.ConstructorDeclaration.java,ConstructorDeclaration,10,0
org.eclipse.jdt.internal.compiler.ast.Continue.java,Continue,3,0
org.eclipse.jdt.internal.compiler.ast.DefaultCase.java,DefaultCase,5,0
org.eclipse.jdt.internal.compiler.ast.DoStatement.java,DoStatement,6,0
org.eclipse.jdt.internal.compiler.ast.DoubleLiteral.java,DoubleLiteral,4,0
org.eclipse.jdt.internal.compiler.ast.EmptyStatement.java,EmptyStatement,3,0
org.eclipse.jdt.internal.compiler.ast.EqualExpression.java,EqualExpression,10,0
org.eclipse.jdt.internal.compiler.ast.ExplicitConstructorCall.java,ExplicitConstructorCall,13,0
org.eclipse.jdt.internal.compiler.ast.Expression.java,Expression,18,1
org.eclipse.jdt.internal.compiler.ast.ExtendedStringLiteral.java,ExtendedStringLiteral,4,0
org.eclipse.jdt.internal.compiler.ast.FalseLiteral.java,FalseLiteral,6,0
org.eclipse.jdt.internal.compiler.ast.FieldDeclaration.java,FieldDeclaration,8,0
org.eclipse.jdt.internal.compiler.ast.FieldReference.java,FieldReference,18,1
org.eclipse.jdt.internal.compiler.ast.FloatLiteral.java,FloatLiteral,4,0
org.eclipse.jdt.internal.compiler.ast.ForStatement.java,ForStatement,6,0
org.eclipse.jdt.internal.compiler.ast.IfStatement.java,IfStatement,5,0
org.eclipse.jdt.internal.compiler.ast.ImportReference.java,ImportReference,4,0
org.eclipse.jdt.internal.compiler.ast.Initializer.java,Initializer,8,0
org.eclipse.jdt.internal.compiler.ast.InnerTypeDeclaration.java,InnerTypeDeclaration,0,0
org.eclipse.jdt.internal.compiler.ast.InstanceOfExpression.java,InstanceOfExpression,6,0
org.eclipse.jdt.internal.compiler.ast.IntLiteral.java,IntLiteral,7,0
org.eclipse.jdt.internal.compiler.ast.IntLiteralMinValue.java,IntLiteralMinValue,1,0
org.eclipse.jdt.internal.compiler.ast.LabeledStatement.java,LabeledStatement,7,0
org.eclipse.jdt.internal.compiler.ast.Literal.java,Literal,4,0
org.eclipse.jdt.internal.compiler.ast.LocalDeclaration.java,LocalDeclaration,6,0
org.eclipse.jdt.internal.compiler.ast.LocalTypeDeclaration.java,LocalTypeDeclaration,1,0
org.eclipse.jdt.internal.compiler.ast.LongLiteral.java,LongLiteral,6,0
org.eclipse.jdt.internal.compiler.ast.LongLiteralMinValue.java,LongLiteralMinValue,1,0
org.eclipse.jdt.internal.compiler.ast.MagicLiteral.java,MagicLiteral,3,0
org.eclipse.jdt.internal.compiler.ast.MemberTypeDeclaration.java,MemberTypeDeclaration,1,0
org.eclipse.jdt.internal.compiler.ast.MessageSend.java,MessageSend,12,0
org.eclipse.jdt.internal.compiler.ast.MethodDeclaration.java,MethodDeclaration,4,0
org.eclipse.jdt.internal.compiler.ast.NameReference.java,NameReference,8,0
org.eclipse.jdt.internal.compiler.ast.NullLiteral.java,NullLiteral,5,0
org.eclipse.jdt.internal.compiler.ast.NumberLiteral.java,NumberLiteral,3,0
org.eclipse.jdt.internal.compiler.ast.OperatorExpression.java,OperatorExpression,6,20
org.eclipse.jdt.internal.compiler.ast.OperatorExpression.java,Decode,3,0
org.eclipse.jdt.internal.compiler.ast.OR_OR_Expression.java,OR_OR_Expression,5,0
org.eclipse.jdt.internal.compiler.ast.PostfixExpression.java,PostfixExpression,5,0
org.eclipse.jdt.internal.compiler.ast.PrefixExpression.java,PrefixExpression,4,0
org.eclipse.jdt.internal.compiler.ast.QualifiedAllocationExpression.java,QualifiedAllocationExpression,8,0
org.eclipse.jdt.internal.compiler.ast.QualifiedNameReference.java,QualifiedNameReference,20,0
org.eclipse.jdt.internal.compiler.ast.QualifiedSuperReference.java,QualifiedSuperReference,5,0
org.eclipse.jdt.internal.compiler.ast.QualifiedThisReference.java,QualifiedThisReference,8,0
org.eclipse.jdt.internal.compiler.ast.QualifiedTypeReference.java,QualifiedTypeReference,6,0
org.eclipse.jdt.internal.compiler.ast.Reference.java,Reference,7,0
